Size,prompt_name,prompt,Function,Min,Average,Max,Minimum Average,Percentage
1000,prompt_human,"""How do I find the duplicates in a list and create another list with them?""",p5_find_duplicates_list_strategy,0.0037422,0.003894024,0.0040776,0.003894024,0
10000,prompt_human,"""How do I find the duplicates in a list and create another list with them?""",p5_find_duplicates_list_strategy,0.099904,0.1057168,0.1243476,0.047116687,124.3723121
100000,prompt_human,"""How do I find the duplicates in a list and create another list with them?""",p5_find_duplicates_list_strategy,1.5288869,1.6048094,1.7779767,1.6048094,0
1000,prompt_1,"""How do I find the duplicates in a list and create another list with them? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0031853,0.14843427,0.4549122,0.003894024,3711.847847
10000,prompt_1,"""How do I find the duplicates in a list and create another list with them? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0393282,216.0307692,600,0.047116687,458401.6115
100000,prompt_1,"""How do I find the duplicates in a list and create another list with them? The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.646268,216.68189,600,1.6048094,13402.0327
1000,prompt_2,"""How do I find the duplicates in a list and create another list with them? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0031846,0.008203586,0.4206297,0.003894024,110.671172
10000,prompt_2,"""How do I find the duplicates in a list and create another list with them? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0392418,6.107128772,600,0.047116687,12861.71094
100000,prompt_2,"""How do I find the duplicates in a list and create another list with them? The implementation should be fast. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.6550078,6.870503131,600,1.6048094,328.1195718
1000,prompt_3,"""How do I find the duplicates in a list and create another list with them? The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0031795,0.004090889,0.010739,0.003894024,5.055567197
10000,prompt_3,"""How do I find the duplicates in a list and create another list with them? The implementation should be fast as the size of the list grows. The Python implementation should be in a function named ""funcImp"" that takes a single list of integers named ""arg1"" as a parameter..""",p5_find_duplicates_list_strategy,0.0391835,0.047116687,0.1046794,0.047116687,0
